feature,imp_ada,imp_et,imp_avg
avg_amount_per_item,0.3535545974576069,0.3623717174424709,0.3579631574500389
total_items_net,0.2686422454922951,0.24187082152994768,0.2552565335111214
department_women_amount,0.2005459885948876,0.1610463369506942,0.1807961627727909
num_items_distinct,0.010712675792490954,0.0808498206614597,0.045781248226975324
season2_group_amount,0.03935634563312716,0.04411812388383932,0.041737234758483246
size_group_s_amount,0.046187826011462416,0.01289639888900261,0.029542112450232513
season1_group_amount,0.027492892273571254,0.027962556571308958,0.027727724422440106
department_men_amount,0.011991535323140996,0.014644950622902829,0.013318242973021912
clothing_items,0.0007511000882040047,0.022796771722770393,0.011773935905487198
size_group_l_amount,0.006514595947362225,0.00597625581631864,0.006245425881840433
Unnamed: 0,0.006724794263572431,0.0018469314275232232,0.004285862845547828
dow,0.005469752490265264,0.0016796158468630233,0.0035746841685641434
other_items,0.0036068854837483836,0.0033868378017031767,0.00349686164272578
order_year,0.004742337744423624,0.0017302003915736352,0.0032362690679986297
top_region_freq,0.0034345557554294717,0.002446130728810232,0.0029403432421198517
store_id_freq,0.0031000283114844354,0.0019572218899874794,0.0025286251007359574
top_location_freq,0.00233191028117573,0.0020057685484057746,0.002168839414790752
department_kids_amount,0.0007948205772553131,0.001945950560803684,0.0013703855690294984
top_category_freq,0.0011972016033297659,0.0009929755922714633,0.0010950885978006147
size_group_m_amount,6.329275229688797e-05,0.0018458930317132374,0.0009545928920050627
order_month,0.0008578862520369723,0.0010444986922311438,0.000951192472134058
is_wend,0.0009715851992437859,0.000841141458564622,0.000906363328904204
size_group_kid_amount,0.00011232564497373203,0.001630551828968534,0.0008714387369711331
quarter,0.0003701368979463355,0.0006591230373209654,0.0005146299676336505
order_quarter,0.0003584749725716756,0.0006311836276915431,0.0004948293001316094
month,0.00011420915609754414,0.0008222214448529726,0.0004682153004752584
coupon_used,0.0,0.0,0.0
total_bags,0.0,0.0,0.0
is_online,0.0,0.0,0.0
total_shipments,0.0,0.0,0.0
is_return_order,0.0,0.0,0.0
