Model,Window,Start,End,N_months,Actual_Mean,Actual_Median,Pred_Mean,Pred_Median,MAE,MAPE,WIF_Orders_Mult,WIF_AOV_Mult,WIF_Baseline_Mean,WIF_Improved_Mean,WIF_Improvement_Total
SARIMAX (revenue),Validation,2025-02,2025-07,6,65406.80129999999,71760.7806,62359.85621089829,62156.274934861474,13947.495123710842,0.2722048876208118,1.1,1.1,62359.85621089829,75455.42601518694,78573.4188257319
Regression (forecasted Orders & AOV),Validation,2025-02,2025-07,6,65406.80129999999,71760.7806,55098.525097282494,55127.0002503742,17596.155387956966,0.3058911198273464,1.1,1.1,55098.525097282494,64970.51326000818,59231.92897635414
Regression (true Orders & AOV) — upper bound,Validation,2025-02,2025-07,6,65406.80129999999,71760.7806,65735.79747015511,71790.83812858368,1588.3028100883123,0.029820388820783455,1.1,1.1,65735.79747015511,76671.51287016807,65614.29240007768
FS AdaBoost (Top-10),Validation,2025-02,2025-07,6,65406.80129999999,71760.7806,50830.86339051164,50069.1883555884,19635.694343963347,0.317420715695304,1.1,1.1,50830.86339051164,61505.34470251909,64046.887872044725
FS ExtraTrees (Top-10),Validation,2025-02,2025-07,6,65406.80129999999,71760.7806,52286.6374436925,53724.78302763088,18278.78648025994,0.2999587066862463,1.1,1.1,52286.6374436925,63266.831306867934,65881.1631790526
FS Upper-Bound (Top-10 avg),Validation,2025-02,2025-07,6,65406.80129999999,71760.7806,62059.01924140055,65019.118460972604,9544.778063567981,0.1833201022752774,1.1,1.1,62059.01924140055,75091.41328209468,78194.36424416475
SARIMAX (revenue),Forecast,2025-08,2026-01,6,,,70934.22216461952,75073.42341025479,,,1.1,1.1,70934.22216461952,85830.40881918963,89377.11992742067
Regression (forecasted Orders & AOV),Forecast,2025-08,2026-01,6,,,56812.36015503262,61585.57072820069,,,1.1,1.1,56812.36015503262,66784.69097266912,59833.98490581902
Regression (true Orders & AOV) — upper bound,Forecast,2025-08,2026-01,6,,,56812.36015503262,61585.57072820069,,,1.1,1.1,56812.36015503262,66784.69097266912,59833.98490581902
FS AdaBoost (Top-10),Forecast,2025-08,2026-01,6,,,53946.823685439536,59620.228333973326,,,1.1,1.1,53946.823685439536,65275.65665938185,67972.99784365387
FS ExtraTrees (Top-10),Forecast,2025-08,2026-01,6,,,54982.63961479233,62861.29216729282,,,1.1,1.1,54982.63961479233,66528.99393389873,69278.12591463843
FS Upper-Bound (Top-10 avg),Forecast,2025-08,2026-01,6,,,71261.23531529911,79927.75312304965,,,1.1,1.1,71261.23531529911,86226.09473151193,89789.15649727696
