Model,Window,Start,End,N_months,Actual_Mean,Actual_Median,Pred_Mean,Pred_Median,MAE,MAPE,WIF_Orders_Mult,WIF_AOV_Mult,WIF_Baseline_Mean,WIF_Improved_Mean,WIF_Improvement_Total
,,2024-08,2025-01,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SARIMAX (revenue),Forecast,,,6,,,70934.22216461952,75073.42341025479,,,,,,,
Regression (forecasted Orders & AOV),Forecast,2025-08,2026-01,6,,,56812.36015503262,61585.57072820069,,,,,,,
FS AdaBoost (Top-10),Forecast,2025-08,2026-01,6,,,53946.823685439536,59620.228333973326,,,,,,,
FS ExtraTrees (Top-10),Forecast,2025-08,2026-01,6,,,54982.63961479233,62861.29216729282,,,,,,,
FS Upper-Bound (Top-10 avg),Forecast,2025-08,2026-01,6,,,71261.23531529911,79927.75312304965,,,,,,,
What-If — Regression Upper-Bound,Validation,2025-02,2025-07,6,65406.80129999999,71760.7806,65735.79747015511,71790.83812858368,1588.3028100883123,0.029820388820783455,1.1,1.1,65735.79747015511,76671.51287016807,65614.29240007768
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,65406.8013,71760.7806,62359.85621,62156.27493,13947.49512,0,,,,,
,,,,,65406.8013,71760.7806,55098.5251,55127.00025,17596.15539,0,,,,,
,,,,,65406.8013,71760.7806,65735.79747,71790.83813,1588.30281,0,,,,,
,,,,,65406.8013,71760.7806,50830.86339,50069.18836,19635.69434,0,,,,,
,,,,,65406.8013,71760.7806,52286.63744,53724.78303,18278.78648,0,,,,,
,,,,,65406.8013,71760.7806,62059.01924,65019.11846,9544.778064,0,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Validation Set : Feb/25-July/25 (6month),,,,,,,,,,,,,,,
Model,Actual_Mean,Actual_Median,Pred_Mean,Pred_Median,MAE,MAPE,,,,,,,,,
Regression (true Orders & AOV) - upper bound,65407,71761,65736,71791,1588,3%,,,,,,,,,
FS Upper-Bound (Top-10 avg),65407,71761,62059,65019,9545,18%,,,,,,,,,
SARIMAX (revenue),65407,71761,62360,62156,13947,27%,,,,,,,,,
FS ExtraTrees (Top-10),65407,71761,52287,53725,18279,30%,,,,,,,,,
Regression (forecasted Orders & AOV),65407,71761,55099,55127,17596,31%,,,,,,,,,
FS AdaBoost (Top-10),65407,71761,50831,50069,19636,32%,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Forecasting Set : Aug/25-Jan/26 (6month),,,,,,,,,,,,,,,
Model,Pred_Mean,Pred_Median,,,,,,,,,,,,,
Regression (forecasted Orders & AOV),56812,61586,0.30589112,,,,,,,,,,,,
FS Upper-Bound (Top-10 avg),71261,79928,0.183320102,,,,,,,,,,,,
SARIMAX (revenue),70934,75073,0.272204888,,,,,,,,,,,,
FS AdaBoost (Top-10),53947,59620,0.317420716,,,,,,,,,,,,
FS ExtraTrees (Top-10),54983,62861,0.299958707,,,,,,,,,,,,
